naslov,avtor,# novih poglavij,# novih besed,# poglavij,# besed,datum objave novega poglavja,datum prve objave,teden v katerem je bilo objavljeno novo poglavje,je quest,je zaključen
An Atomic Jaunt,DefinitelyNotTheSimurgh,3,3300,3,3300,2019-03-21,2019-03-20,2019-03-16,False,False
Broken Adventure,theaceoffire,9,18000,9,18000,2019-03-16,2019-03-21,2019-03-16,False,False
Death and what comes after,Noctivagus,9,18000,9,18000,2019-03-16,2019-03-16,2019-03-16,False,False
Devil&apos;s Cry,Cardinal Grief,2,2400,2,2400,2019-03-16,2019-03-16,2019-03-16,False,False
Donjon,Silverstrings,2,10000,2,10000,2019-03-16,2019-03-17,2019-03-16,False,False
Fallen Leaves On My Path,redwarmshade,4,17000,4,17000,2019-03-19,2019-03-18,2019-03-16,False,False
Fury of a Worm,TheNorthern,2,6800,2,6800,2019-03-21,2019-03-20,2019-03-16,False,False
Golden Oaks,ericwinter,1,2400,1,2400,2019-03-17,2019-03-17,2019-03-16,False,False
House Baratheon of Brockton Bay,Krieg Schnee,3,3600,3,3600,2019-03-16,2019-03-20,2019-03-16,False,False
Lend Me Your Ears,BurningCrab,4,16000,4,16000,2019-03-16,2019-03-16,2019-03-16,False,False
Little Things,erbkaiser,1,1500,1,1500,2019-03-20,2019-03-20,2019-03-16,False,False
Night,Baked The Author,1,8200,1,8200,2019-03-19,2019-03-19,2019-03-16,False,False
Path to Heaven,herbie_was_a_mistake,2,5500,2,5500,2019-03-19,2019-03-19,2019-03-16,False,False
Pay it Forward,NotZiz,6,11000,6,11000,2019-03-16,2019-03-18,2019-03-16,False,False
"Picture, If You Will...",shandromand,2,5400,2,5400,2019-03-20,2019-03-17,2019-03-16,False,False
[REDACTED],Elstabbo,2,3000,2,3000,2019-03-20,2019-03-18,2019-03-16,False,False
Teacher&apos;s Pet,Axle,1,1500,1,1500,2019-03-20,2019-03-20,2019-03-16,False,False
A Trilogy Without Save Files to Abuse,freebiewitz,2,8500,2,8500,2019-03-19,2019-03-15,2019-03-16,False,False
Vacate,erbkaiser,2,2900,2,2900,2019-03-19,2019-03-19,2019-03-16,False,False
"When a Tri-Wizard Fails, Try Spiders Instead",PencilMonkey,1,3100,1,3100,2019-03-16,2019-03-16,2019-03-16,False,False
Worm quest for a future undetermined,Rider1860,1,651,1,651,2019-03-21,2019-03-20,2019-03-16,True,False
Ascended Threat,erbkaiser,1,710,1,710,2019-03-19,2019-03-19,2019-03-16,False,True
A Dovahkiin without Dragon Souls to spend,freebiewitz,49,142000,49,142000,2019-03-19,2017-04-08,2019-03-16,False,True
The Dynamite Duo,HorizonTheTransient,5,8400,5,8400,2019-03-19,2019-03-18,2019-03-16,False,True
End Game,muishiki,1,2500,1,2500,2019-03-18,2019-03-18,2019-03-16,False,True
Sole Survivor without a radioactive wasteland to roam,freebiewitz,43,152000,43,152000,2019-03-16,2018-02-08,2019-03-16,False,True
Escalation is the best solution,zeferoz,1,1500,1,1500,2019-03-19,2019-03-19,2019-03-16,False,True
nIce Girl,erbkaiser,1,1200,1,1200,2019-03-20,2019-03-20,2019-03-16,False,True
Confrontation II: the Reckoning,Ack,1,6100,7,29000,2019-03-21,2015-07-25,2019-03-16,False,False
FateKaleid Prisma Taylor,Rater202,1,2900,26,74000,2019-03-17,2017-01-04,2019-03-16,False,False
I Am Ziz,TCGM,1,2400,4,6400,2019-03-16,2018-02-04,2019-03-16,False,False
Magical Girl Lyrical Taylor,Marsyas,1,4200,93,314000,2019-03-18,2016-04-20,2019-03-16,False,False
Markala&apos;s Unruly Idea &amp; Snip Lagomorph Lot,Markala,1,2100,3,3800,2019-03-18,2018-03-18,2019-03-16,False,False
Mysteries and Magecraft,ian25rebel,1,3500,4,17000,2019-03-17,2019-10-31,2019-03-16,False,False
Skiv,PencilMonkey,1,2100,5,17000,2019-03-16,2019-08-13,2019-03-16,False,False
Sowing Doubt,Materia-Blade,1,3500,3,9300,2019-03-18,2016-09-29,2019-03-16,False,False
A Tail of Transmogrification,Muishiki,1,1200,19,14000,2019-03-18,2016-02-22,2019-03-16,False,False
Taylor Made Venom,Storm0fCrows,1,1900,8,24000,2019-03-20,2019-05-10,2019-03-16,False,False
A utopian dream,yanzak,12,48000,12,48000,2019-03-21,2018-02-28,2019-03-16,False,False
Abaddon Born(e),PublicLee Speaking,1,5900,114,564000,2019-03-17,2017-10-04,2019-03-16,False,False
All the Time to Lose,SoulSong,1,1700,15,25000,2019-03-20,2019-12-02,2019-03-16,False,False
Any Means Necessary,Eiri Fllyn,27,76000,27,76000,2019-03-21,2019-08-25,2019-03-16,False,False
Ask Not the Sparrow How the Eagle Soars!,Z.R. Stein,1,2200,5,11000,2019-03-18,2019-03-12,2019-03-16,False,False
A Bad Name,Potato Nose,84,223000,84,223000,2019-03-21,2017-03-03,2019-03-16,False,False
Bigger and Better Bugs,Istaran,1,960,32,30000,2019-03-21,2019-01-22,2019-03-16,False,False
The Birds That Don&apos;t Rise,Vereor Nox,12,24000,12,24000,2019-03-16,2019-02-18,2019-03-16,False,False
Blanket aka The Diaper Changer,ScottotheUnwise,2,5800,70,214000,2019-03-21,2019-06-17,2019-03-16,False,False
Bloody Stars,SirWill,8,15000,8,15000,2019-03-16,2019-04-04,2019-03-16,False,False
Bone Deep,matrix3,1,1400,24,35000,2019-03-19,2016-04-18,2019-03-16,False,False
Bringing a Pickaxe to a Power Fight,Akallas von Aerok,2,1800,35,35000,2019-03-16,2019-12-29,2019-03-16,False,False
Brockton 10-0,Noobsauce,1,5200,6,24000,2019-03-20,2019-02-17,2019-03-16,False,False
Burn,ssdx3i,1,2100,2,4300,2019-03-20,2019-03-11,2019-03-16,False,False
Camera Shy,TheGreatGimmick,1,3900,19,112000,2019-03-18,2019-09-28,2019-03-16,False,False
"The Cat, Witch and the Wormholes",KatzSmile,10,27000,10,27000,2019-03-21,2019-03-09,2019-03-16,False,False
Chimera,Krieg Schnee,2,2900,19,27000,2019-03-16,2019-08-25,2019-03-16,False,False
Chosen,WillfullyHeretical,1,1500,2,3100,2019-03-17,2019-03-10,2019-03-16,False,False
Collector,MRouz,3,3600,15,22000,2019-03-20,2019-01-28,2019-03-16,False,False
Confinement,Merksykhaan,1,7000,8,30000,2019-03-17,2019-02-19,2019-03-16,False,False
Conflagration,TheEpicLotfi,4,14000,11,36000,2019-03-20,2019-03-11,2019-03-16,False,False
Consequences,OxfordOctopus,1,2000,14,35000,2019-03-18,2019-02-27,2019-03-16,False,False
the crazy green tinker of brockton,Jamin Gan,1,1300,3,5000,2019-03-21,2019-02-25,2019-03-16,False,False
Cult of Escalation,QuickDeath007,3,5200,4,6200,2019-03-21,2019-03-14,2019-03-16,False,False
Dragon&apos;s Teeth,SIDoragon,1,4000,5,23000,2019-03-17,2019-02-17,2019-03-16,False,False
East of Eden: A New Twist on an Old Cycle,Husr,1,947,23,38000,2019-03-16,2019-12-24,2019-03-16,False,False
Empress Ascendant,Unruly Marmite,1,14000,12,109000,2019-03-16,2017-05-12,2019-03-16,False,False
The Empress of Escalation,Blackhawk748,1,4700,7,20000,2019-03-18,2019-03-07,2019-03-16,False,False
The End Bringer,Materia-Blade,1,2200,15,47000,2019-03-16,2014-05-13,2019-03-16,False,False
Exodus,Zaru &amp; Ld1449,1,4400,34,85000,2019-03-20,2017-01-20,2019-03-16,False,False
For My Pleasure,Psychoghost,1,3600,12,32000,2019-03-20,2019-01-12,2019-03-16,False,False
Gemini,spyrl,1,5600,3,18000,2019-03-17,2019-03-08,2019-03-16,False,False
A General Among Parahumans,TheHatterOfMad,1,3000,5,13000,2019-03-17,2019-02-28,2019-03-16,False,False
Grail,Blinktwice13,58,226000,58,226000,2019-03-21,2019-11-21,2019-03-16,False,False
Graphomurk,anvarmtg,1,6100,8,136000,2019-03-19,2019-02-10,2019-03-16,False,False
Gun Bunny,Selector,1,3600,25,75000,2019-03-16,2019-08-25,2019-03-16,False,False
.hack//Capes,ellfangor8,1,2200,11,23000,2019-03-21,2016-11-16,2019-03-16,False,False
Harmony,Viev,3,23000,57,255000,2019-03-16,2017-07-22,2019-03-16,False,False
Hijacked Shard,Shapechanger,1,2400,8,20000,2019-03-16,2019-01-21,2019-03-16,False,False
How to Train Your Endbringer,RavensDagger,39,113000,39,113000,2019-03-20,2019-09-30,2019-03-16,False,False
A Humanitarian in Brockton Bay,Badoatmeal,1,2600,3,7300,2019-03-22,2019-03-14,2019-03-16,False,False
"I Woke Up As a Dungeon, Now What?",Aku-dono,1,4400,32,158000,2019-03-16,2018-03-01,2019-03-16,False,False
Icon,ProfessorPedant,4,9100,18,44000,2019-03-21,2019-03-04,2019-03-16,False,False
Improbable Happenstance,ThatNotDead,1,1000,11,12000,2019-03-19,2019-12-24,2019-03-16,False,False
Intergalactic No Fault Collisons,caliiro,11,45000,11,45000,2019-03-16,2019-03-11,2019-03-16,False,False
Itâs Not Easy Being Queen,BonesMalone,1,1400,8,11000,2019-03-19,2019-03-01,2019-03-16,False,False
A Legion of Taylors,Krule,1,1100,4,5100,2019-03-20,2019-03-06,2019-03-16,False,False
Lets tone that back a bit,Heavy READER,1,3900,8,28000,2019-03-16,2017-07-25,2019-03-16,False,False
Life Bends Down,Pericardium,11,76000,11,76000,2019-03-20,2018-02-25,2019-03-16,False,False
Like How an Artist Paints,King Jerry,1,3900,6,23000,2019-03-21,2019-02-26,2019-03-16,False,False
Living The Dream,stabbyGamer,1,1600,16,33000,2019-03-17,2019-11-26,2019-03-16,False,False
Locust,Ryuugi,9,52000,9,52000,2019-03-22,2019-03-10,2019-03-16,False,False
The Loser Channel,Axle,1,4200,7,19000,2019-03-16,2019-06-27,2019-03-16,False,False
Luminous,Relyet,3,15000,16,61000,2019-03-21,2019-02-17,2019-03-16,False,False
Mauling Snarks,CmptrWz,2,10000,205,969000,2019-03-16,2017-09-04,2019-03-16,False,False
The Meek Shall inherit the Universe!,axleonex,1,4200,6,18000,2019-03-16,2019-11-21,2019-03-16,False,False
Metastable,Tascion,64,231000,64,231000,2019-03-16,2018-01-01,2019-03-16,False,False
Methuselah,SquiddlePitch,19,72000,19,72000,2019-03-21,2019-08-11,2019-03-16,False,False
My first CYOA AKA Let&apos;s hope I learn how to fly this plane before it crashes,SparkkleS,1,1500,4,6900,2019-03-17,2019-02-24,2019-03-16,False,False
On Fluttering Wings,Stardust Falcon,5,31000,5,31000,2019-03-18,2019-02-11,2019-03-16,False,False
The Other Way,Slavok,1,5600,2,8900,2019-03-20,2019-03-13,2019-03-16,False,False
Our Own Methods,Requiem,1,1100,2,2300,2019-03-21,2019-01-28,2019-03-16,False,False
Overpowered Much?,Akallas von Aerok,2,1800,38,72000,2019-03-21,2017-08-21,2019-03-16,False,False
âPlease Like &amp; Subscribeâ,stabbyunicorn,2,1900,5,8800,2019-03-19,2019-03-04,2019-03-16,False,False
Prodigal Daughter,Ack,1,4400,9,32000,2019-03-18,2019-12-25,2019-03-16,False,False
Projection of The Stars,LordKen2000,2,2200,3,3300,2019-03-21,2019-03-14,2019-03-16,False,False
R.EVOlution,Ukilhim,10,10000,10,10000,2019-03-22,2019-11-20,2019-03-16,False,False
Rank,The_Incorruptible,1,4100,52,196000,2019-03-20,2019-04-04,2019-03-16,False,False
The Remarkable Properties of Greasepaint,T0PH4T,1,1100,15,19000,2019-03-16,2019-02-02,2019-03-16,False,False
Remnant of a Worm,Half Masked,13,86000,13,86000,2019-03-16,2019-10-20,2019-03-16,False,False
Resurrection,Elstabbo,1,4100,19,47000,2019-03-18,2019-02-01,2019-03-16,False,False
Ring-Maker,LithosMaitreya,1,2300,114,298000,2019-03-16,2017-04-21,2019-03-16,False,False
Scatterer,chickengun99,1,3400,20,72000,2019-03-17,2017-06-08,2019-03-16,False,False
Ship of Fools,Derek M,3,20000,23,74000,2019-03-21,2019-02-16,2019-03-16,False,False
A Skittering Heart,Stewart92,1,3800,88,539000,2019-03-19,2016-01-08,2019-03-16,False,False
"So, I&apos;m a Spider. Flat, &apos;What?&apos;",throwaawy,9,15000,9,15000,2019-03-16,2019-03-08,2019-03-16,False,False
Sunspot,misha906,1,2900,13,45000,2019-03-16,2019-11-07,2019-03-16,False,False
Taylor Calvert,RavensDagger,1,3500,15,33000,2019-03-19,2019-02-18,2019-03-16,False,False
Taylor of the Week,Thetntm,2,16000,4,22000,2019-03-17,2019-02-28,2019-03-16,False,False
Taylor Varga,mp3.1415player,1,3500,262,1600000,2019-03-18,2016-09-20,2019-03-16,False,False
Taylor&apos;s Gotta Power,arromdee,1,3500,44,152000,2019-03-18,2016-12-09,2019-03-16,False,False
Taylor&apos;s Primarchs,The Propa Orky Reda,8,9600,18,21000,2019-03-16,2019-03-12,2019-03-16,False,False
Time of My Life,DefinitelyNotTheSimurgh,8,10000,19,27000,2019-03-16,2019-02-22,2019-03-16,False,False
To Find Your Home,Grimnosh,1,994,12,16000,2019-03-19,2019-12-18,2019-03-16,False,False
Toaru Majutsu no Taylor-chan: A Certain Mythic Archmage,Writer of 2814,8,50000,8,50000,2019-03-21,2019-12-25,2019-03-16,False,False
"Tonight, She Comes",moonrakerone,1,4000,13,66000,2019-03-19,2019-08-17,2019-03-16,False,False
Totally Storming It,WhoAmEye,1,5200,8,31000,2019-03-19,2019-01-28,2019-03-16,False,False
Trailblazer,3ndless,1,6000,31,160000,2019-03-16,2019-09-14,2019-03-16,False,False
Trillium Waltz,Idiom Alpha,17,73000,17,73000,2019-03-21,2019-08-06,2019-03-16,False,False
Unlimited Potential,Guardsman_Sparky,1,5800,37,59000,2019-03-17,2015-09-25,2019-03-16,False,False
The Usurper,Sol_invictus_2042,1,3900,5,14000,2019-03-18,2019-02-16,2019-03-16,False,False
A wand for Skitter,ShayneT,3,8900,11,30000,2019-03-21,2019-02-27,2019-03-16,False,False
Ward Academia,Wernher von Braun,1,3100,6,16000,2019-03-22,2019-02-13,2019-03-16,False,False
What is Time,BlueFlameMasta,1,6200,51,228000,2019-03-19,2019-05-05,2019-03-16,False,False
World Trace,Akallas von Aerok,1,1500,5,10000,2019-03-19,2019-03-02,2019-03-16,False,False
Worm: More Than Meets The Eye,Metallix666,112,510000,112,510000,2019-03-17,2015-01-27,2019-03-16,False,False
Wormbound,Janusi,2,5700,20,45000,2019-03-21,2019-01-21,2019-03-16,False,False
The Yozis&apos; Gambit,Morbleiz10,8,12000,8,12000,2019-03-16,2019-02-23,2019-03-16,False,False
238 Heroes of Taylor,Hejtan,14,20000,14,20000,2019-03-16,2019-03-01,2019-03-16,True,False
Chromatic Quest,Tascion,1,8100,23,121000,2019-03-16,2019-08-26,2019-03-16,True,False
A Conjuror&apos;s journey,PieceThruWar,2,1600,382,473000,2019-03-21,2017-06-29,2019-03-16,True,False
Ear Worm,RexHeller,1,3200,9,20000,2019-03-21,2018-02-10,2019-03-16,True,False
Heavy Metal Thunder,filipinosberman,1,2800,9,19000,2019-03-17,2019-02-23,2019-03-16,True,False
Mage Quest,Yuki no Yue,1,1300,113,109000,2019-03-19,2017-05-07,2019-03-16,True,False
Magical Girl Escalation Taylor,Silently Watches,2,4000,196,371000,2019-03-16,2016-04-11,2019-03-16,True,False
One FARO to rule them all,Necronion_Yith,3,2100,3,2100,2019-03-19,2019-03-07,2019-03-16,True,False
Rise of the Arachnomancer,Hotdog Vendor,1,563,57,95000,2019-03-16,2019-01-26,2019-03-16,True,False
Shining Example,IKnowNothing,1,3800,43,170000,2019-03-20,2017-03-26,2019-03-16,True,False
Smite Quest,Monk Penguin,5,13000,18,39000,2019-03-16,2019-03-03,2019-03-16,True,False
[Smug] Quest,serialkilerwhale,1,599,6,3900,2019-03-18,2019-11-24,2019-03-16,True,False
